session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260212_183758,179,0.01,-1.792,9.374,-1.415,0.001,-0.07,0.01,-0.425,-10.045,0.006,-0.017,-0.015,0.02,382207
20260212_183758,180,0.01,-1.811,9.352,-1.462,0.001,-0.074,-0.001,-0.431,-10.05,0.073,-0.018,-0.027,0.013,382217
20260212_183758,181,0.01,-1.787,9.315,-1.468,-0.0,-0.067,-0.01,-0.435,-10.009,0.208,-0.015,-0.025,0.006,382227
20260212_183758,182,0.01,-1.726,9.322,-1.515,0.004,-0.055,-0.019,-0.395,-10.002,0.197,-0.008,-0.04,0.004,382237
20260212_183758,183,0.01,-1.706,9.312,-1.584,0.004,-0.03,-0.03,-0.41,-10.006,0.278,-0.002,-0.054,0.002,382247
20260212_183758,184,0.01,-1.655,9.343,-1.588,0.008,-0.017,-0.04,-0.468,-10.01,0.25,0.005,-0.061,-0.003,382257
20260212_183758,185,0.01,-1.537,9.319,-1.481,0.025,-0.051,-0.044,-0.477,-9.976,0.16,0.002,-0.062,-0.005,382267
20260212_183758,186,0.01,-1.475,9.391,-1.486,0.031,-0.071,-0.049,-0.322,-10.033,0.181,0.005,-0.05,-0.002,382277
20260212_183758,187,0.01,-1.482,9.448,-1.574,0.019,-0.019,-0.053,-0.14,-10.1,0.209,0.006,-0.031,-0.003,382287
20260212_183758,188,0.01,-1.591,9.391,-1.476,0.003,0.059,-0.05,-0.097,-10.104,0.1,0.004,-0.046,-0.012,382297
